Transaction_ID,Customer_ID,Transaction_Amount,Transaction_Hour,Location,Merchant_Category,Payment_Method,Device_Type,Is_Fraud
T111,1138,655.95,20,Chennai,Travel,UPI,Mobile,0
T112,1080,1021.21,18,Nagpur,Electronics,Card,Mobile,0
T113,1135,1155.89,7,Hyderabad,Travel,UPI,Laptop,0
T114,1162,7604.94,6,Chennai,Travel,UPI,Mobile,0
T115,1162,3295.05,15,Hyderabad,Entertainment,UPI,Laptop,0
T116,1032,2964.23,18,Hyderabad,Grocery,Net Banking,Mobile,0
T117,1122,487.63,5,Delhi,Electronics,Card,Laptop,0
T118,1004,7868.44,19,Bangalore,Fashion,Net Banking,Mobile,0
T119,1040,5132.27,20,Hyderabad,Food,Net Banking,Mobile,0
T120,1027,280.27,10,Chennai,Fashion,Card,Laptop,0
T121,1134,4921.75,4,Chennai,Travel,Card,Mobile,0
T122,1071,3137.0,15,Chennai,Electronics,Card,Mobile,0
T123,1011,341.03,6,Nagpur,Electronics,Card,Mobile,0
T124,1161,2452.18,4,Mumbai,Electronics,UPI,Laptop,0
T125,1032,2652.0,10,Hyderabad,Grocery,UPI,Mobile,0
T126,1047,725.01,14,Kolkata,Fashion,UPI,Laptop,0
T127,1150,11652.79,2,Hyderabad,Grocery,UPI,Mobile,0
T128,1061,7587.82,4,Hyderabad,Entertainment,Card,Mobile,0
T129,1036,4422.82,22,Kolkata,Food,Net Banking,Laptop,0
T130,1098,2481.78,20,Delhi,Entertainment,Card,Mobile,0
T131,1171,2122.52,4,Hyderabad,Travel,Net Banking,Mobile,0
T132,1103,4210.43,8,Nagpur,Grocery,Card,Mobile,0
T133,1034,3153.63,14,Pune,Grocery,Net Banking,Mobile,0
T134,1192,257.19,2,Bangalore,Entertainment,Card,Mobile,1
T135,1100,2873.88,5,Chennai,Travel,Card,Mobile,0
T136,1174,6567.92,16,Hyderabad,Electronics,Card,Mobile,0
T137,1130,2459.12,20,Delhi,Travel,UPI,Mobile,0
T138,1000,213.42,7,Nagpur,Fashion,Net Banking,Mobile,0
T139,1004,6172.32,20,Hyderabad,Entertainment,Card,Mobile,0
T140,1141,899.4,10,Kolkata,Travel,Net Banking,Tablet,0
T141,1102,1196.97,5,Delhi,Electronics,UPI,Laptop,0
T142,1026,719.89,7,Pune,Travel,UPI,Mobile,0
T143,1136,1603.19,9,Mumbai,Grocery,UPI,Mobile,0
T144,1014,5654.69,23,Hyderabad,Food,Card,Tablet,0
T145,1089,2930.76,2,Nagpur,Grocery,Card,Mobile,1
T146,1041,917.06,22,Delhi,Food,Net Banking,Mobile,0
T147,1123,8409.37,13,Kolkata,Travel,Net Banking,Laptop,0
T148,1178,8467.14,22,Delhi,Fashion,Net Banking,Mobile,0
T149,1062,8178.72,13,Hyderabad,Travel,Net Banking,Mobile,0
T150,1095,1091.42,9,Delhi,Electronics,Card,Tablet,0
T151,1051,2400.37,11,Mumbai,Travel,UPI,Laptop,0
T152,1095,16796.06,5,Delhi,Food,Card,Mobile,0
T153,1131,5913.86,11,Chennai,Grocery,Net Banking,Mobile,0
T154,1150,110.17,22,Bangalore,Fashion,UPI,Mobile,0
T155,1142,269.71,13,Chennai,Travel,UPI,Laptop,0
T156,1170,2493.97,1,Bangalore,Travel,UPI,Mobile,0
T157,1028,9597.27,8,Delhi,Grocery,Card,Mobile,0
T158,1035,3094.84,9,Kolkata,Fashion,Card,Tablet,0
T159,1012,2755.13,16,Kolkata,Entertainment,Net Banking,Mobile,0
T160,1159,445.84,16,Hyderabad,Travel,UPI,Mobile,0
T161,1070,4277.54,2,Kolkata,Travel,Card,Mobile,1
T162,1186,6906.21,18,Bangalore,Entertainment,UPI,Mobile,0
T163,1085,1914.85,0,Nagpur,Food,UPI,Mobile,0
T164,1027,5977.51,11,Bangalore,Food,Card,Tablet,0
T165,1065,13350.26,6,Chennai,Electronics,Card,Laptop,0
T166,1169,911.45,3,Delhi,Grocery,Net Banking,Mobile,0
T167,1044,2963.72,9,Hyderabad,Fashion,UPI,Mobile,0
T168,1061,1353.87,12,Pune,Travel,UPI,Mobile,0
T169,1184,6297.33,1,Hyderabad,Travel,UPI,Mobile,0
T170,1133,3447.15,9,Hyderabad,Electronics,Card,Mobile,0
T171,1027,4026.86,20,Hyderabad,Travel,UPI,Tablet,0
T172,1027,6396.25,21,Nagpur,Grocery,Card,Mobile,0
T173,1107,2016.53,3,Mumbai,Electronics,Card,Mobile,1
T174,1043,9864.66,17,Chennai,Grocery,UPI,Mobile,0
T175,1083,3045.95,4,Delhi,Electronics,Net Banking,Mobile,0
T176,1029,687.69,18,Mumbai,Travel,Card,Mobile,0
T177,1189,4761.58,1,Pune,Electronics,Card,Mobile,1
T178,1074,6305.2,11,Mumbai,Food,UPI,Mobile,0
T179,1127,1523.65,16,Delhi,Fashion,Net Banking,Laptop,0
T180,1091,7784.66,9,Chennai,Travel,UPI,Mobile,0
T181,1189,9463.94,1,Chennai,Entertainment,Net Banking,Mobile,0
T182,1128,1296.86,5,Delhi,Fashion,UPI,Mobile,0
T183,1120,16422.79,7,Pune,Travel,UPI,Laptop,1
T184,1026,606.6,18,Delhi,Fashion,Card,Mobile,0
T185,1189,902.67,10,Pune,Food,Card,Mobile,0
T186,1120,814.47,11,Pune,Fashion,Card,Mobile,0
T187,1115,8976.88,8,Delhi,Electronics,UPI,Laptop,0
T188,1002,4248.65,1,Bangalore,Fashion,Net Banking,Mobile,0
T189,1102,659.99,7,Chennai,Travel,Net Banking,Mobile,0
T190,1197,2321.58,10,Pune,Entertainment,Card,Mobile,0
T191,1199,3821.15,20,Delhi,Entertainment,Card,Mobile,0
T192,1154,348.62,3,Kolkata,Grocery,Card,Mobile,1
T193,1136,8562.42,9,Bangalore,Fashion,Card,Mobile,0
T194,1061,6510.48,20,Chennai,Entertainment,UPI,Laptop,0
T195,1164,2814.46,19,Pune,Fashion,Net Banking,Mobile,0
T196,1050,13660.37,15,Chennai,Entertainment,Net Banking,Mobile,0
T197,1171,2163.5,7,Bangalore,Fashion,UPI,Mobile,0
T198,1151,16568.34,3,Chennai,Travel,UPI,Mobile,0
T199,1058,4409.52,9,Nagpur,Fashion,UPI,Mobile,0
T200,1117,4027.83,11,Hyderabad,Travel,Card,Laptop,0
T201,1159,725.87,13,Nagpur,Travel,UPI,Tablet,0
T202,1095,8545.83,15,Bangalore,Grocery,UPI,Mobile,0
T203,1179,2230.9,21,Pune,Entertainment,UPI,Mobile,0
T204,1112,708.06,17,Delhi,Electronics,Card,Mobile,0
T205,1061,50.75,20,Mumbai,Travel,Card,Laptop,0
T206,1185,3281.7,21,Delhi,Entertainment,Card,Laptop,0
T207,1051,2998.02,20,Chennai,Food,Net Banking,Laptop,0
T208,1011,5082.64,11,Mumbai,Fashion,Card,Laptop,0
T209,1038,8838.49,17,Mumbai,Food,UPI,Mobile,0
T210,1129,330.95,6,Chennai,Fashion,UPI,Mobile,0
T211,1130,5259.57,19,Chennai,Grocery,Card,Laptop,0
T212,1112,830.12,23,Pune,Travel,UPI,Mobile,0
T213,1100,7812.7,22,Bangalore,Electronics,Net Banking,Mobile,0
T214,1112,6838.44,6,Kolkata,Travel,UPI,Mobile,0
T215,1183,3113.02,8,Delhi,Fashion,Net Banking,Mobile,0
T216,1080,4954.85,0,Bangalore,Electronics,Card,Mobile,1
T217,1186,1509.55,5,Nagpur,Travel,Card,Mobile,0
T218,1112,2548.34,5,Pune,Electronics,Net Banking,Laptop,0
T219,1001,6895.74,21,Pune,Fashion,UPI,Mobile,0
T220,1129,2459.31,11,Kolkata,Grocery,Net Banking,Mobile,0
T221,1053,1771.41,21,Nagpur,Grocery,UPI,Laptop,0
T222,1086,2726.55,11,Delhi,Travel,Net Banking,Mobile,0
T223,1128,7046.84,9,Hyderabad,Food,UPI,Mobile,0
T224,1146,1633.12,22,Nagpur,Fashion,UPI,Mobile,0
T225,1125,763.49,5,Delhi,Travel,UPI,Mobile,0
T226,1129,4979.37,16,Mumbai,Travel,Card,Mobile,0
T227,1052,6994.3,18,Chennai,Grocery,Net Banking,Tablet,0
T228,1171,424.28,17,Pune,Electronics,Card,Mobile,0
T229,1159,1097.08,5,Delhi,Fashion,UPI,Mobile,0
T230,1197,612.47,23,Bangalore,Electronics,Card,Mobile,0
T231,1159,1710.48,18,Kolkata,Entertainment,UPI,Mobile,0
T232,1067,2393.9,9,Chennai,Entertainment,UPI,Laptop,0
T233,1182,5526.44,23,Bangalore,Fashion,Card,Mobile,0
T234,1183,4212.43,7,Chennai,Food,Net Banking,Mobile,0
T235,1122,3880.12,20,Pune,Entertainment,Card,Laptop,0
T236,1144,1737.77,23,Nagpur,Grocery,UPI,Mobile,0
T237,1037,7366.68,5,Hyderabad,Food,Card,Laptop,0
T238,1023,2549.24,20,Nagpur,Travel,Card,Mobile,0
T239,1068,15472.97,6,Delhi,Entertainment,Card,Mobile,0
T240,1115,4022.04,23,Kolkata,Grocery,UPI,Laptop,0
T241,1097,539.91,0,Nagpur,Travel,Card,Laptop,1
T242,1197,4510.24,17,Pune,Food,Net Banking,Mobile,0
T243,1138,1572.79,23,Kolkata,Fashion,Card,Mobile,0
T244,1143,4637.62,19,Delhi,Travel,Card,Mobile,0
T245,1096,288.74,11,Mumbai,Electronics,Card,Mobile,0
T246,1123,768.91,15,Nagpur,Fashion,Card,Tablet,0
T247,1186,7744.48,9,Nagpur,Fashion,UPI,Mobile,0
T248,1069,1030.83,9,Hyderabad,Food,Net Banking,Mobile,0
T249,1092,7257.03,13,Delhi,Food,UPI,Laptop,0
T250,1002,1310.0,19,Bangalore,Grocery,Card,Mobile,0
T251,1147,4118.76,9,Nagpur,Grocery,Card,Mobile,0
T252,1186,4738.65,9,Pune,Electronics,UPI,Tablet,0
T253,1163,2875.13,10,Nagpur,Fashion,Net Banking,Laptop,0
T254,1146,1457.16,22,Hyderabad,Electronics,Card,Laptop,0
T255,1089,956.3,1,Mumbai,Electronics,UPI,Mobile,0
T256,1194,135.01,19,Hyderabad,Food,Card,Laptop,0
T257,1146,1449.31,7,Nagpur,Electronics,Card,Mobile,0
T258,1147,4235.6,22,Kolkata,Electronics,UPI,Mobile,0
T259,1095,11142.2,6,Bangalore,Travel,Card,Tablet,0
T260,1198,8198.12,7,Chennai,Grocery,UPI,Mobile,0
T261,1051,5810.84,0,Nagpur,Grocery,Card,Laptop,1
T262,1160,6213.13,20,Delhi,Fashion,UPI,Mobile,0
T263,1167,4374.32,1,Nagpur,Grocery,Card,Mobile,1
T264,1127,1205.97,17,Bangalore,Entertainment,Net Banking,Laptop,0
T265,1038,9509.02,14,Delhi,Fashion,Card,Mobile,0
T266,1081,4443.54,0,Pune,Travel,Net Banking,Mobile,0
T267,1103,3287.93,4,Kolkata,Grocery,UPI,Mobile,0
T268,1128,470.58,1,Delhi,Travel,Net Banking,Tablet,0
T269,1010,2369.99,19,Hyderabad,Grocery,UPI,Mobile,0
T270,1184,2467.4,2,Mumbai,Grocery,UPI,Mobile,0
T271,1177,7997.01,18,Hyderabad,Travel,Card,Mobile,0
T272,1150,3164.35,17,Chennai,Electronics,Card,Tablet,0
T273,1158,1914.73,21,Delhi,Electronics,Card,Laptop,0
T274,1041,15054.47,17,Pune,Electronics,Card,Laptop,1
T275,1098,469.38,13,Nagpur,Entertainment,Net Banking,Mobile,0
T276,1006,2196.52,23,Kolkata,Electronics,Card,Mobile,0
T277,1143,171.73,7,Delhi,Grocery,UPI,Mobile,0
T278,1089,5386.82,11,Hyderabad,Food,UPI,Mobile,0
T279,1111,10007.88,20,Delhi,Travel,UPI,Mobile,0
T280,1059,1314.22,9,Delhi,Food,UPI,Tablet,0
T281,1112,7817.35,22,Delhi,Entertainment,Card,Laptop,0
T282,1001,1382.48,19,Pune,Food,UPI,Mobile,0
T283,1128,9666.16,16,Kolkata,Fashion,Card,Mobile,0
T284,1047,5609.08,10,Bangalore,Electronics,Net Banking,Laptop,0
T285,1139,6537.11,1,Bangalore,Entertainment,UPI,Mobile,0
T286,1196,72.68,3,Delhi,Grocery,Net Banking,Mobile,0
T287,1036,13166.9,0,Pune,Electronics,Card,Mobile,1
T288,1159,5188.32,14,Pune,Electronics,Card,Mobile,0
T289,1008,1453.94,12,Chennai,Food,Card,Laptop,0
T290,1098,7073.61,7,Delhi,Fashion,Card,Mobile,0
T291,1146,1322.48,3,Hyderabad,Electronics,Card,Mobile,1
T292,1047,8246.53,9,Hyderabad,Travel,UPI,Mobile,0
T293,1130,477.75,18,Mumbai,Travel,Card,Laptop,0
T294,1147,4865.34,17,Kolkata,Electronics,UPI,Mobile,0
T295,1151,3112.19,4,Delhi,Food,Net Banking,Mobile,0
T296,1053,406.07,18,Mumbai,Food,UPI,Tablet,0
T297,1119,1107.73,22,Hyderabad,Grocery,Card,Tablet,0
T298,1160,49.93,21,Hyderabad,Entertainment,Card,Tablet,0
T299,1151,2530.23,15,Delhi,Entertainment,UPI,Laptop,0
T300,1115,1433.94,0,Mumbai,Entertainment,Card,Mobile,1
T301,1074,3648.77,11,Mumbai,Fashion,UPI,Mobile,0
T302,1112,1410.95,23,Delhi,Food,Card,Mobile,0
T303,1199,1426.24,1,Kolkata,Grocery,Net Banking,Mobile,0
T304,1163,5437.72,20,Chennai,Travel,UPI,Tablet,0
T305,1165,197.36,7,Mumbai,Entertainment,UPI,Laptop,0
T306,1103,9327.85,17,Chennai,Travel,Card,Laptop,0
T307,1083,7649.31,15,Nagpur,Travel,Card,Mobile,0
T308,1111,4408.13,4,Kolkata,Electronics,UPI,Tablet,0
T309,1098,3597.95,21,Hyderabad,Fashion,UPI,Laptop,0
T310,1152,8913.72,12,Bangalore,Grocery,Card,Mobile,0
T311,1092,819.89,18,Kolkata,Fashion,Card,Laptop,0
T312,1145,329.05,2,Chennai,Electronics,Card,Mobile,1
T313,1127,1095.17,7,Chennai,Grocery,UPI,Mobile,0
T314,1109,6330.76,11,Chennai,Grocery,Card,Laptop,0
T315,1081,141.14,1,Pune,Food,UPI,Laptop,0
T316,1193,3496.82,10,Kolkata,Fashion,UPI,Mobile,0
T317,1053,21559.55,11,Mumbai,Fashion,UPI,Mobile,1
T318,1162,7743.33,17,Mumbai,Food,Net Banking,Tablet,0
T319,1188,2947.94,12,Pune,Travel,Net Banking,Laptop,0
T320,1168,263.02,4,Mumbai,Electronics,UPI,Laptop,0
T321,1160,7120.28,21,Pune,Fashion,Card,Mobile,0
T322,1067,3654.96,11,Chennai,Food,Card,Mobile,0
T323,1032,488.37,1,Delhi,Grocery,UPI,Mobile,0
T324,1141,394.23,4,Kolkata,Entertainment,UPI,Mobile,0
T325,1020,9615.23,6,Nagpur,Food,UPI,Mobile,0
T326,1047,4424.97,23,Chennai,Entertainment,Card,Mobile,0
T327,1147,7071.08,11,Nagpur,Travel,UPI,Mobile,0
T328,1127,8447.16,15,Hyderabad,Electronics,Card,Mobile,0
T329,1135,3392.4,22,Chennai,Entertainment,UPI,Laptop,0
T330,1134,2914.65,7,Bangalore,Travel,Card,Mobile,0
T331,1194,2251.48,8,Mumbai,Entertainment,UPI,Mobile,0
T332,1144,1524.73,14,Bangalore,Grocery,Card,Mobile,0
T333,1127,2280.86,4,Delhi,Grocery,Card,Mobile,0
T334,1032,5946.75,12,Nagpur,Grocery,UPI,Mobile,0
T335,1175,3684.44,4,Kolkata,Grocery,Card,Tablet,0
T336,1186,8921.92,10,Chennai,Food,UPI,Laptop,0
T337,1114,2343.49,9,Kolkata,Grocery,UPI,Mobile,0
T338,1118,3736.69,19,Delhi,Grocery,UPI,Mobile,0
T339,1021,3991.17,12,Delhi,Food,Card,Mobile,0
T340,1157,3582.98,8,Mumbai,Grocery,UPI,Laptop,0
T341,1037,4851.16,20,Delhi,Travel,UPI,Mobile,0
T342,1108,1084.26,13,Chennai,Travel,UPI,Mobile,0
T343,1050,2872.74,17,Chennai,Fashion,UPI,Laptop,0
T344,1181,440.26,14,Kolkata,Travel,Card,Laptop,0
T345,1007,1941.35,9,Kolkata,Electronics,Card,Laptop,0
T346,1026,2675.12,23,Nagpur,Electronics,Card,Laptop,0
T347,1026,4224.79,6,Chennai,Electronics,Card,Tablet,0
T348,1020,12025.64,7,Bangalore,Food,Card,Mobile,0
T349,1029,3671.68,2,Nagpur,Travel,UPI,Mobile,0
T350,1096,5443.97,14,Mumbai,Electronics,UPI,Laptop,0
T351,1027,2823.03,15,Nagpur,Fashion,Card,Laptop,0
T352,1110,4021.62,3,Pune,Food,Net Banking,Tablet,0
T353,1191,294.29,20,Kolkata,Fashion,UPI,Mobile,0
T354,1196,1174.22,5,Bangalore,Travel,Net Banking,Mobile,0
T355,1060,1796.75,0,Kolkata,Grocery,UPI,Mobile,0
T356,1047,2558.38,3,Pune,Fashion,UPI,Mobile,0
T357,1146,186.89,10,Pune,Grocery,Card,Mobile,0
T358,1003,603.4,11,Hyderabad,Food,Card,Laptop,0
T359,1034,1296.36,4,Chennai,Fashion,Card,Mobile,0
T360,1191,14236.0,22,Mumbai,Fashion,UPI,Laptop,0
T361,1048,1609.96,20,Delhi,Entertainment,Card,Laptop,0
T362,1016,2631.44,15,Pune,Food,UPI,Mobile,0
T363,1171,873.11,12,Nagpur,Food,Card,Mobile,0
T364,1157,3774.44,12,Delhi,Electronics,UPI,Mobile,0
T365,1045,1317.81,16,Nagpur,Travel,Card,Laptop,0
T366,1116,927.69,6,Kolkata,Fashion,Card,Laptop,0
T367,1005,2907.42,7,Nagpur,Fashion,Card,Laptop,0
T368,1098,22.08,12,Delhi,Food,Card,Tablet,0
T369,1123,30.77,22,Delhi,Food,Card,Mobile,0
T370,1036,989.07,15,Chennai,Travel,UPI,Tablet,0
T371,1023,149.65,3,Nagpur,Food,Card,Laptop,1
T372,1092,457.27,7,Mumbai,Grocery,Card,Laptop,0
T373,1045,1655.16,15,Chennai,Grocery,UPI,Mobile,0
T374,1180,6489.8,20,Bangalore,Entertainment,Card,Tablet,0
T375,1094,3394.98,9,Hyderabad,Grocery,Net Banking,Mobile,0
T376,1098,2875.24,11,Bangalore,Grocery,Net Banking,Laptop,0
T377,1187,1389.67,11,Mumbai,Travel,Card,Mobile,0
T378,1115,10738.53,4,Chennai,Fashion,Card,Mobile,0
T379,1190,2023.45,15,Hyderabad,Grocery,Card,Mobile,0
T380,1159,364.48,0,Chennai,Entertainment,UPI,Mobile,0
T381,1160,3839.58,8,Delhi,Food,UPI,Mobile,0
T382,1066,483.42,11,Hyderabad,Grocery,UPI,Laptop,0
T383,1127,1693.84,4,Kolkata,Entertainment,UPI,Mobile,0
T384,1017,2832.33,21,Nagpur,Travel,Card,Mobile,0
T385,1024,8292.96,19,Bangalore,Food,UPI,Mobile,0
T386,1053,2721.29,21,Hyderabad,Entertainment,UPI,Mobile,0
T387,1057,4846.12,23,Nagpur,Grocery,UPI,Mobile,0
T388,1066,19744.06,2,Chennai,Fashion,Net Banking,Mobile,0
T389,1103,563.9,4,Mumbai,Food,UPI,Mobile,0
T390,1173,1284.85,1,Hyderabad,Food,Card,Laptop,1
T391,1023,2007.31,13,Nagpur,Fashion,Card,Mobile,0
T392,1113,2191.54,1,Chennai,Food,UPI,Mobile,0
T393,1031,2117.46,12,Chennai,Grocery,Card,Mobile,0
T394,1174,9526.99,6,Chennai,Food,Net Banking,Tablet,0
T395,1085,5007.51,9,Mumbai,Grocery,Card,Mobile,0
T396,1150,3745.01,12,Delhi,Fashion,UPI,Mobile,0
T397,1193,1480.62,15,Mumbai,Electronics,UPI,Mobile,0
T398,1126,6944.32,13,Mumbai,Fashion,Card,Mobile,0
T399,1154,12409.75,10,Kolkata,Grocery,Net Banking,Mobile,0
T400,1129,6885.91,9,Bangalore,Travel,Net Banking,Mobile,0
T401,1016,6.27,5,Chennai,Fashion,UPI,Mobile,0
T402,1103,4046.82,3,Nagpur,Travel,Card,Mobile,1
T403,1160,209.96,20,Hyderabad,Travel,Card,Mobile,0
T404,1136,1191.51,0,Bangalore,Grocery,Card,Laptop,1
T405,1042,245.48,6,Chennai,Grocery,Card,Tablet,0
T406,1175,3703.3,23,Pune,Electronics,UPI,Mobile,0
T407,1038,4640.97,8,Mumbai,Entertainment,Net Banking,Mobile,0
T408,1169,486.36,7,Pune,Food,UPI,Tablet,0
